song_id,title,artist,genres,tags
1,Song 1,Artist 7,"electronic,pop","chill,instrumental"
2,Song 2,Artist 2,"electronic,hiphop",dance
3,Song 3,Artist 7,classical,"melancholy,acoustic"
4,Song 4,Artist 15,blues,"chill,party"
5,Song 5,Artist 30,"hiphop,blues",instrumental
6,Song 6,Artist 29,rock,sad
7,Song 7,Artist 26,electronic,"dance,instrumental"
8,Song 8,Artist 5,electronic,"upbeat,sad"
9,Song 9,Artist 23,pop,chill
10,Song 10,Artist 11,"rock,hiphop","acoustic,melancholy"
11,Song 11,Artist 1,blues,instrumental
12,Song 12,Artist 24,folk,chill
13,Song 13,Artist 27,hiphop,melancholy
14,Song 14,Artist 19,"country,rock","energetic,upbeat"
15,Song 15,Artist 23,blues,upbeat
16,Song 16,Artist 16,classical,"dance,upbeat"
17,Song 17,Artist 18,"folk,country",energetic
18,Song 18,Artist 12,pop,party
19,Song 19,Artist 19,"blues,electronic","dance,acoustic"
20,Song 20,Artist 14,rock,"acoustic,love"
21,Song 21,Artist 18,"blues,pop","love,melancholy"
22,Song 22,Artist 18,hiphop,energetic
23,Song 23,Artist 22,pop,"acoustic,sad"
24,Song 24,Artist 8,hiphop,party
25,Song 25,Artist 17,"blues,country",melancholy
26,Song 26,Artist 30,"rock,hiphop","acoustic,chill"
27,Song 27,Artist 22,blues,"upbeat,acoustic"
28,Song 28,Artist 22,pop,melancholy
29,Song 29,Artist 24,"blues,folk",energetic
30,Song 30,Artist 14,"folk,classical","acoustic,energetic"
31,Song 31,Artist 11,hiphop,energetic
32,Song 32,Artist 24,country,dance
33,Song 33,Artist 4,"electronic,classical","dance,acoustic"
34,Song 34,Artist 4,hiphop,"love,chill"
35,Song 35,Artist 12,hiphop,"upbeat,energetic"
36,Song 36,Artist 22,"electronic,hiphop",chill
37,Song 37,Artist 3,folk,dance
38,Song 38,Artist 24,folk,dance
39,Song 39,Artist 20,jazz,acoustic
40,Song 40,Artist 26,"classical,hiphop","dance,party"
41,Song 41,Artist 14,blues,"love,upbeat"
42,Song 42,Artist 11,country,dance
43,Song 43,Artist 5,"jazz,blues",dance
44,Song 44,Artist 4,"country,hiphop","sad,melancholy"
45,Song 45,Artist 27,hiphop,chill
46,Song 46,Artist 15,blues,upbeat
47,Song 47,Artist 17,"hiphop,blues",dance
48,Song 48,Artist 3,country,"love,party"
49,Song 49,Artist 2,country,"dance,instrumental"
50,Song 50,Artist 24,"pop,jazz",love
51,Song 51,Artist 26,"country,electronic",upbeat
52,Song 52,Artist 20,electronic,melancholy
53,Song 53,Artist 6,"blues,folk","chill,melancholy"
54,Song 54,Artist 24,pop,"party,sad"
55,Song 55,Artist 30,classical,"dance,sad"
56,Song 56,Artist 26,"rock,country",party
57,Song 57,Artist 8,"rock,hiphop",love
58,Song 58,Artist 12,"blues,electronic",melancholy
59,Song 59,Artist 30,pop,"sad,love"
60,Song 60,Artist 23,hiphop,"chill,dance"
61,Song 61,Artist 10,"hiphop,electronic",dance
62,Song 62,Artist 30,"blues,jazz","upbeat,dance"
63,Song 63,Artist 12,classical,chill
64,Song 64,Artist 26,classical,"instrumental,energetic"
65,Song 65,Artist 9,"jazz,rock",upbeat
66,Song 66,Artist 19,"jazz,hiphop","energetic,acoustic"
67,Song 67,Artist 7,"blues,folk","dance,party"
68,Song 68,Artist 29,blues,"sad,dance"
69,Song 69,Artist 17,blues,"energetic,love"
70,Song 70,Artist 22,"jazz,country",chill
71,Song 71,Artist 1,blues,"love,dance"
72,Song 72,Artist 15,"classical,blues",acoustic
73,Song 73,Artist 4,electronic,"energetic,melancholy"
74,Song 74,Artist 30,pop,"love,sad"
75,Song 75,Artist 9,"electronic,country",upbeat
76,Song 76,Artist 4,blues,upbeat
77,Song 77,Artist 13,hiphop,"acoustic,upbeat"
78,Song 78,Artist 19,"blues,rock",party
79,Song 79,Artist 4,classical,instrumental
80,Song 80,Artist 25,classical,"acoustic,chill"
81,Song 81,Artist 17,electronic,party
82,Song 82,Artist 15,jazz,"love,acoustic"
83,Song 83,Artist 23,pop,energetic
84,Song 84,Artist 11,"hiphop,classical",party
85,Song 85,Artist 3,"jazz,pop",dance
86,Song 86,Artist 10,"hiphop,electronic",instrumental
87,Song 87,Artist 14,electronic,melancholy
88,Song 88,Artist 25,electronic,sad
89,Song 89,Artist 6,jazz,sad
90,Song 90,Artist 3,"hiphop,blues","dance,energetic"
91,Song 91,Artist 2,"country,jazz","upbeat,love"
92,Song 92,Artist 16,hiphop,energetic
93,Song 93,Artist 24,rock,acoustic
94,Song 94,Artist 13,"classical,pop","acoustic,melancholy"
95,Song 95,Artist 13,"electronic,hiphop","upbeat,sad"
96,Song 96,Artist 28,"pop,hiphop",sad
97,Song 97,Artist 27,"blues,pop","upbeat,love"
98,Song 98,Artist 2,"blues,country",sad
99,Song 99,Artist 3,blues,instrumental
100,Song 100,Artist 29,country,"instrumental,melancholy"
101,Song 101,Artist 29,"blues,pop",sad
102,Song 102,Artist 25,"pop,country",love
103,Song 103,Artist 6,"classical,rock",party
104,Song 104,Artist 8,"electronic,hiphop","melancholy,party"
105,Song 105,Artist 15,"blues,rock",melancholy
106,Song 106,Artist 30,"country,pop",melancholy
107,Song 107,Artist 26,rock,"instrumental,acoustic"
108,Song 108,Artist 3,"jazz,rock",chill
109,Song 109,Artist 28,"folk,classical","chill,sad"
110,Song 110,Artist 22,electronic,"love,party"
111,Song 111,Artist 28,electronic,instrumental
112,Song 112,Artist 8,"pop,blues","dance,instrumental"
113,Song 113,Artist 22,"rock,country","chill,instrumental"
114,Song 114,Artist 9,electronic,energetic
115,Song 115,Artist 24,electronic,chill
116,Song 116,Artist 28,hiphop,acoustic
117,Song 117,Artist 18,classical,"dance,acoustic"
118,Song 118,Artist 26,"hiphop,country",acoustic
119,Song 119,Artist 6,"blues,folk",dance
120,Song 120,Artist 12,"rock,electronic",melancholy
121,Song 121,Artist 10,"jazz,country","chill,acoustic"
122,Song 122,Artist 23,"blues,country",energetic
123,Song 123,Artist 19,"electronic,rock",party
124,Song 124,Artist 30,electronic,"party,dance"
125,Song 125,Artist 15,hiphop,party
126,Song 126,Artist 27,classical,"energetic,upbeat"
127,Song 127,Artist 12,"electronic,rock",party
128,Song 128,Artist 3,electronic,chill
129,Song 129,Artist 7,folk,melancholy
130,Song 130,Artist 5,"blues,jazz",upbeat
131,Song 131,Artist 2,classical,love
132,Song 132,Artist 12,"folk,pop","energetic,party"
133,Song 133,Artist 18,"hiphop,blues","party,energetic"
134,Song 134,Artist 27,country,"chill,love"
135,Song 135,Artist 5,"blues,jazz","dance,melancholy"
136,Song 136,Artist 2,country,"sad,party"
137,Song 137,Artist 29,"country,rock","upbeat,party"
138,Song 138,Artist 14,"pop,folk","energetic,chill"
139,Song 139,Artist 2,"blues,jazz",energetic
140,Song 140,Artist 17,hiphop,"chill,dance"
141,Song 141,Artist 22,"pop,jazz","chill,love"
142,Song 142,Artist 7,folk,"dance,energetic"
143,Song 143,Artist 20,"pop,hiphop",melancholy
144,Song 144,Artist 9,"jazz,hiphop","chill,upbeat"
145,Song 145,Artist 8,rock,love
146,Song 146,Artist 3,"blues,folk",energetic
147,Song 147,Artist 5,"classical,folk","love,sad"
148,Song 148,Artist 14,hiphop,"chill,melancholy"
149,Song 149,Artist 15,classical,"sad,acoustic"
150,Song 150,Artist 17,"folk,country","chill,dance"
151,Song 151,Artist 22,"hiphop,pop",energetic
152,Song 152,Artist 5,jazz,energetic
153,Song 153,Artist 1,"classical,jazz","energetic,party"
154,Song 154,Artist 26,"country,hiphop","acoustic,chill"
155,Song 155,Artist 4,"folk,jazz","acoustic,party"
156,Song 156,Artist 20,electronic,"chill,sad"
157,Song 157,Artist 28,blues,"energetic,chill"
158,Song 158,Artist 23,blues,dance
159,Song 159,Artist 15,"hiphop,blues","love,melancholy"
160,Song 160,Artist 13,blues,"acoustic,party"
161,Song 161,Artist 4,"electronic,country","sad,dance"
162,Song 162,Artist 24,pop,melancholy
163,Song 163,Artist 12,electronic,acoustic
164,Song 164,Artist 24,hiphop,instrumental
165,Song 165,Artist 19,hiphop,dance
166,Song 166,Artist 2,"classical,hiphop","party,love"
167,Song 167,Artist 10,"pop,rock","instrumental,energetic"
168,Song 168,Artist 4,"hiphop,pop",instrumental
169,Song 169,Artist 24,"electronic,classical",energetic
170,Song 170,Artist 11,"rock,hiphop","chill,party"
171,Song 171,Artist 2,jazz,"energetic,upbeat"
172,Song 172,Artist 14,"folk,electronic",chill
173,Song 173,Artist 27,blues,"energetic,upbeat"
174,Song 174,Artist 6,country,"upbeat,sad"
175,Song 175,Artist 24,"country,electronic","acoustic,dance"
176,Song 176,Artist 15,country,"dance,sad"
177,Song 177,Artist 3,"rock,country","dance,sad"
178,Song 178,Artist 18,blues,"chill,upbeat"
179,Song 179,Artist 27,"jazz,classical",energetic
180,Song 180,Artist 9,electronic,party
181,Song 181,Artist 11,classical,"upbeat,instrumental"
182,Song 182,Artist 23,"blues,folk",dance
183,Song 183,Artist 29,folk,sad
184,Song 184,Artist 29,"rock,folk","sad,dance"
185,Song 185,Artist 12,"classical,blues","party,instrumental"
186,Song 186,Artist 8,jazz,"party,melancholy"
187,Song 187,Artist 8,hiphop,"dance,party"
188,Song 188,Artist 24,electronic,instrumental
189,Song 189,Artist 29,"country,hiphop","acoustic,party"
190,Song 190,Artist 30,country,"love,upbeat"
191,Song 191,Artist 19,classical,"instrumental,acoustic"
192,Song 192,Artist 12,hiphop,party
193,Song 193,Artist 18,"electronic,blues","sad,melancholy"
194,Song 194,Artist 11,"classical,rock","dance,upbeat"
195,Song 195,Artist 10,"country,pop",upbeat
196,Song 196,Artist 4,jazz,"love,acoustic"
197,Song 197,Artist 10,pop,"energetic,dance"
198,Song 198,Artist 16,"hiphop,blues","melancholy,upbeat"
199,Song 199,Artist 26,rock,"acoustic,dance"
200,Song 200,Artist 11,"electronic,folk","dance,upbeat"
